Name,CPU%,MemUsage
assignment3-sa-full-web-1,1.68%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.37%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,0.78%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.24%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,0.91%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.20%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.81%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.69%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.99%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.01%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.40%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,2.18%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.12%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.12%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.97%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,0.93%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.68%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.78%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.56%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.74%,116MiB / 7.654GiB
assignment3-sa-full-web-1,2.27%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,2.12%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.09%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.11%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,0.99%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,2.01%,116MiB / 7.654GiB
assignment3-sa-full-web-1,1.87%,116MiB / 7.654GiB
assignment3-sa-full-web-1,2.30%,115.7MiB / 7.654GiB
assignment3-sa-full-web-1,1.89%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.53%,115.9MiB / 7.654GiB
assignment3-sa-full-web-1,2.09%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.58%,115.9MiB / 7.654GiB
assignment3-sa-full-web-1,1.95%,116.1MiB / 7.654GiB
assignment3-sa-full-web-1,2.28%,116.1MiB / 7.654GiB
assignment3-sa-full-web-1,1.66%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.59%,115.9MiB / 7.654GiB
assignment3-sa-full-web-1,2.09%,116MiB / 7.654GiB
assignment3-sa-full-web-1,1.71%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.55%,116.1MiB / 7.654GiB
assignment3-sa-full-web-1,1.82%,115.9MiB / 7.654GiB
assignment3-sa-full-web-1,2.01%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.86%,115.9MiB / 7.654GiB
assignment3-sa-full-web-1,2.09%,115.9MiB / 7.654GiB
assignment3-sa-full-web-1,1.77%,115.8MiB / 7.654GiB
assignment3-sa-full-web-1,1.85%,115.9MiB / 7.654GiB
