Name,CPU%,MemUsage
assignment3-sa-full-web-1,38.39%,122.6MiB / 7.654GiB
assignment3-sa-full-web-1,32.57%,209.6MiB / 7.654GiB
assignment3-sa-full-web-1,64.11%,201.5MiB / 7.654GiB
assignment3-sa-full-web-1,29.40%,213.1MiB / 7.654GiB
assignment3-sa-full-web-1,29.42%,203MiB / 7.654GiB
assignment3-sa-full-web-1,14.62%,187.8MiB / 7.654GiB
assignment3-sa-full-web-1,30.81%,177.7MiB / 7.654GiB
assignment3-sa-full-web-1,25.13%,181.9MiB / 7.654GiB
assignment3-sa-full-web-1,25.75%,175.7MiB / 7.654GiB
assignment3-sa-full-web-1,26.74%,158.4MiB / 7.654GiB
assignment3-sa-full-web-1,28.87%,154.4MiB / 7.654GiB
assignment3-sa-full-web-1,30.38%,150.3MiB / 7.654GiB
assignment3-sa-full-web-1,29.20%,145.3MiB / 7.654GiB
assignment3-sa-full-web-1,29.26%,144.2MiB / 7.654GiB
assignment3-sa-full-web-1,29.94%,143.6MiB / 7.654GiB
assignment3-sa-full-web-1,31.43%,143.9MiB / 7.654GiB
assignment3-sa-full-web-1,30.09%,143.7MiB / 7.654GiB
assignment3-sa-full-web-1,28.88%,143.5MiB / 7.654GiB
assignment3-sa-full-web-1,32.33%,143.9MiB / 7.654GiB
assignment3-sa-full-web-1,26.59%,143.7MiB / 7.654GiB
assignment3-sa-full-web-1,30.44%,144.5MiB / 7.654GiB
assignment3-sa-full-web-1,31.05%,144.1MiB / 7.654GiB
assignment3-sa-full-web-1,33.36%,143.2MiB / 7.654GiB
assignment3-sa-full-web-1,30.83%,143.6MiB / 7.654GiB
assignment3-sa-full-web-1,29.28%,143.6MiB / 7.654GiB
assignment3-sa-full-web-1,28.73%,143.3MiB / 7.654GiB
assignment3-sa-full-web-1,31.26%,143.7MiB / 7.654GiB
assignment3-sa-full-web-1,29.58%,143.6MiB / 7.654GiB
assignment3-sa-full-web-1,32.91%,143.1MiB / 7.654GiB
assignment3-sa-full-web-1,27.25%,143.6MiB / 7.654GiB
assignment3-sa-full-web-1,28.86%,143.1MiB / 7.654GiB
assignment3-sa-full-web-1,30.29%,143MiB / 7.654GiB
assignment3-sa-full-web-1,30.59%,143.9MiB / 7.654GiB
assignment3-sa-full-web-1,30.07%,143.7MiB / 7.654GiB
assignment3-sa-full-web-1,32.07%,143.1MiB / 7.654GiB
assignment3-sa-full-web-1,30.02%,142.9MiB / 7.654GiB
assignment3-sa-full-web-1,30.81%,143.3MiB / 7.654GiB
assignment3-sa-full-web-1,30.29%,143.6MiB / 7.654GiB
assignment3-sa-full-web-1,29.84%,143.5MiB / 7.654GiB
assignment3-sa-full-web-1,26.79%,143.7MiB / 7.654GiB
assignment3-sa-full-web-1,28.78%,142.8MiB / 7.654GiB
assignment3-sa-full-web-1,31.93%,142.8MiB / 7.654GiB
assignment3-sa-full-web-1,30.86%,143.4MiB / 7.654GiB
assignment3-sa-full-web-1,31.34%,143.4MiB / 7.654GiB

