Name,CPU%,MemUsage
assignment3-sa-full-web-1,0.97%,116.2MiB / 7.654GiB
assignment3-sa-full-web-1,0.46%,116.2MiB / 7.654GiB
assignment3-sa-full-web-1,0.43%,116.2MiB / 7.654GiB
assignment3-sa-full-web-1,0.49%,117MiB / 7.654GiB
assignment3-sa-full-web-1,19.74%,120MiB / 7.654GiB
assignment3-sa-full-web-1,12.34%,132.1MiB / 7.654GiB
assignment3-sa-full-web-1,12.28%,132.5MiB / 7.654GiB
assignment3-sa-full-web-1,13.28%,127.4MiB / 7.654GiB
assignment3-sa-full-web-1,13.91%,125.2MiB / 7.654GiB
assignment3-sa-full-web-1,14.76%,123.7MiB / 7.654GiB
assignment3-sa-full-web-1,11.46%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,14.99%,121.9MiB / 7.654GiB
assignment3-sa-full-web-1,14.00%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,15.68%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,14.76%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,15.18%,122MiB / 7.654GiB
assignment3-sa-full-web-1,14.34%,122MiB / 7.654GiB
assignment3-sa-full-web-1,15.00%,122MiB / 7.654GiB
assignment3-sa-full-web-1,15.46%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,16.08%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,15.64%,122.1MiB / 7.654GiB
assignment3-sa-full-web-1,15.78%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,15.11%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,15.22%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,13.96%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,16.12%,122.1MiB / 7.654GiB
assignment3-sa-full-web-1,16.22%,122.1MiB / 7.654GiB
assignment3-sa-full-web-1,15.61%,122.8MiB / 7.654GiB
assignment3-sa-full-web-1,15.61%,122.8MiB / 7.654GiB
assignment3-sa-full-web-1,15.53%,122.1MiB / 7.654GiB
assignment3-sa-full-web-1,15.47%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,15.95%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,15.59%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,14.85%,122.1MiB / 7.654GiB
assignment3-sa-full-web-1,16.04%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,15.54%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,14.30%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,15.61%,122.5MiB / 7.654GiB
assignment3-sa-full-web-1,15.29%,122.7MiB / 7.654GiB
assignment3-sa-full-web-1,15.79%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,17.40%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,15.64%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,15.51%,122.2MiB / 7.654GiB
assignment3-sa-full-web-1,16.31%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,17.14%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,16.24%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,18.32%,122.4MiB / 7.654GiB
assignment3-sa-full-web-1,14.86%,122.3MiB / 7.654GiB
assignment3-sa-full-web-1,1.71%,122.1MiB / 7.654GiB
