Name,CPU%,MemUsage
assignment3-sa-proxy-web-1,0.49%,119.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.43%,119.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.41%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,4.34%,120MiB / 7.654GiB
assignment3-sa-proxy-web-1,63.45%,123.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,38.25%,215.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,46.53%,239.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,68.50%,191.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,92.84%,188.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,39.94%,300.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,41.41%,331.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,9.71%,337.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,8.94%,340.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,13.32%,349.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,3.34%,341.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,31.28%,294.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,79.49%,215.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,55.08%,208.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,56.80%,199MiB / 7.654GiB
assignment3-sa-proxy-web-1,57.19%,179.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,54.03%,200.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,58.20%,200.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,66.78%,185.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,55.58%,175.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.59%,170.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,56.98%,169.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,54.88%,169.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,52.14%,167.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,57.81%,166.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,72.34%,164.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,56.24%,165MiB / 7.654GiB
assignment3-sa-proxy-web-1,62.76%,168.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,57.55%,167.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,58.39%,165.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.51%,168.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,51.95%,167.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,71.41%,165.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,51.85%,167.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,63.21%,166.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,53.11%,166.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,47.74%,165.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,60.44%,166.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,69.96%,165.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,53.64%,164.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.53%,162.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,51.42%,161.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,65.83%,162MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.65%,160.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.72%,160.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.58%,160.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.61%,160.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.40%,159.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.71%,159.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.32%,159.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.32%,159.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.50%,159.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.71%,159.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.57%,159.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.30%,159.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.23%,159.9MiB / 7.654GiB
