Name,CPU%,MemUsage
assignment3-sa-proxy-web-1,0.71%,102.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.58%,102.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.95%,102.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,2.22%,102.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,45.93%,162.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,57.53%,174.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,32.18%,175.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,32.72%,182.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,34.46%,160.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,42.35%,157.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,28.49%,168.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,25.81%,160.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,25.99%,149.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,25.71%,138.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,31.05%,126.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.67%,123.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.29%,121.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,28.54%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.80%,120MiB / 7.654GiB
assignment3-sa-proxy-web-1,28.59%,120.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,27.71%,120.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.46%,120MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.23%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,27.46%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.96%,119.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.44%,120MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.47%,121.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,32.65%,120.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,31.20%,120.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.85%,120.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,33.17%,120.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.98%,120.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.67%,121.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,25.57%,121.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,31.38%,120.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.54%,120.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.81%,120.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.28%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.20%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.50%,120.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.25%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,31.29%,122.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,28.59%,122MiB / 7.654GiB
assignment3-sa-proxy-web-1,26.55%,120.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,29.51%,120.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,32.02%,120.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,30.87%,120.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,27.92%,119.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.39%,119.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.39%,119.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.59%,119.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.40%,119.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.36%,119.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.62%,119.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.57%,119.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.11%,119.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.77%,119.7MiB / 7.654GiB
