Name,CPU%,MemUsage
assignment3-sa-app-web-1,63.68%,232.6MiB / 7.654GiB
assignment3-sa-app-web-1,26.01%,194.8MiB / 7.654GiB
assignment3-sa-app-web-1,31.11%,184.4MiB / 7.654GiB
assignment3-sa-app-web-1,29.86%,184.9MiB / 7.654GiB
assignment3-sa-app-web-1,30.58%,184.4MiB / 7.654GiB
assignment3-sa-app-web-1,30.62%,184.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.70%,184.4MiB / 7.654GiB
assignment3-sa-app-web-1,25.41%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,28.59%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,26.26%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.21%,183.6MiB / 7.654GiB
assignment3-sa-app-web-1,32.10%,183.3MiB / 7.654GiB
assignment3-sa-app-web-1,29.06%,183.3MiB / 7.654GiB
assignment3-sa-app-web-1,31.49%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,30.54%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.87%,183.6MiB / 7.654GiB
assignment3-sa-app-web-1,31.92%,183.3MiB / 7.654GiB
assignment3-sa-app-web-1,30.65%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,29.24%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,26.12%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,30.97%,183.4MiB / 7.654GiB
assignment3-sa-app-web-1,30.53%,182.7MiB / 7.654GiB
assignment3-sa-app-web-1,30.10%,182.3MiB / 7.654GiB
assignment3-sa-app-web-1,30.49%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,33.28%,182.6MiB / 7.654GiB
assignment3-sa-app-web-1,31.04%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.49%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.44%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,27.47%,182.6MiB / 7.654GiB
assignment3-sa-app-web-1,25.66%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,29.94%,182.3MiB / 7.654GiB
assignment3-sa-app-web-1,31.41%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.32%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,30.28%,182.3MiB / 7.654GiB
assignment3-sa-app-web-1,29.68%,182.6MiB / 7.654GiB
assignment3-sa-app-web-1,31.44%,182.4MiB / 7.654GiB
assignment3-sa-app-web-1,31.64%,182.6MiB / 7.654GiB
assignment3-sa-app-web-1,30.52%,181.6MiB / 7.654GiB
assignment3-sa-app-web-1,26.85%,181.3MiB / 7.654GiB
assignment3-sa-app-web-1,26.38%,181.4MiB / 7.654GiB
assignment3-sa-app-web-1,30.60%,181.6MiB / 7.654GiB
assignment3-sa-app-web-1,30.15%,181.4MiB / 7.654GiB
assignment3-sa-app-web-1,32.03%,181.4MiB / 7.654GiB
assignment3-sa-app-web-1,39.66%,181.7MiB / 7.654GiB
