Name,CPU%,MemUsage
assignment3-sa-app-cache-web-1,0.45%,124.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.05%,124.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.15%,124.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.25%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.04%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.36%,124.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.93%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.46%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.93%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.75%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.57%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.63%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.05%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.35%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.02%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.01%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.19%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.68%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.85%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.64%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.58%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.27%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.73%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.35%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.08%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.85%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.44%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.95%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.76%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.25%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.40%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.49%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.24%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.32%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.79%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.87%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.64%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.50%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.30%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.39%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.74%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.59%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,4.87%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.06%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,3.57%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.73%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.00%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.65%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.36%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.34%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.35%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.58%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.71%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.43%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.70%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.63%,124.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.69%,124.8MiB / 7.654GiB
