Name,CPU%,MemUsage
assignment3-sa-app-cache-web-1,0.44%,150.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.43%,150.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.50%,150.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.47%,161.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.72%,160.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,7.29%,240.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,74.47%,271.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,68.33%,318.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,101.87%,300.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,95.80%,467.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,96.88%,482.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,79.60%,431.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,5.24%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.85%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,6.51%,283.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,9.00%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,54.39%,284.2MiB / 7.654GiB
assignment3-sa-app-cache-web-1,52.77%,283.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,54.05%,283.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,64.60%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,55.91%,284MiB / 7.654GiB
assignment3-sa-app-cache-web-1,52.66%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,57.17%,283.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,50.65%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,52.08%,283.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.75%,283.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,55.44%,284.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,50.26%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,56.77%,284.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,53.84%,284MiB / 7.654GiB
assignment3-sa-app-cache-web-1,63.84%,283.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,59.15%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,61.66%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,50.25%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,50.16%,284MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.78%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,51.25%,283.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,49.77%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,54.74%,283.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,60.14%,283.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,59.31%,283.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,56.42%,284.2MiB / 7.654GiB
assignment3-sa-app-cache-web-1,53.80%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,51.97%,283.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,50.86%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.51%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,50.31%,283.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,51.64%,283.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.46%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.98%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.29%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.83%,283.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.31%,283.8MiB / 7.654GiB
