Name,CPU%,MemUsage
assignment3-sa-app-cache-web-1,23.87%,169.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,87.31%,216.2MiB / 7.654GiB
assignment3-sa-app-cache-web-1,48.03%,162MiB / 7.654GiB
assignment3-sa-app-cache-web-1,33.95%,150.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.68%,150.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,34.17%,150.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,33.89%,150.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,25.85%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,25.41%,150.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,26.99%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.32%,150.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.31%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.88%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.30%,150.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.18%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.01%,150.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,32.94%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.88%,150.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.46%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,26.25%,150.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,28.64%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.90%,150.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.88%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.91%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.44%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.42%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,32.16%,150.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,33.37%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.10%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,27.88%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,27.48%,150.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.73%,150.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,29.94%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.02%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.25%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.88%,151.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.50%,150.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,30.80%,151.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,33.26%,151.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,29.34%,151.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,27.61%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,31.10%,150.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,32.38%,151.1MiB / 7.654GiB
assignment3-sa-app-cache-web-1,32.28%,150.9MiB / 7.654GiB

