Name,CPU%,MemUsage
assignment3-sa-search-web-1,2.08%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.76%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.87%,115.6MiB / 7.654GiB
assignment3-sa-search-web-1,1.54%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.92%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.84%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.61%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.88%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,2.13%,115.6MiB / 7.654GiB
assignment3-sa-search-web-1,1.71%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.68%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.74%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.76%,115.7MiB / 7.654GiB
assignment3-sa-search-web-1,1.55%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,2.11%,115.6MiB / 7.654GiB
assignment3-sa-search-web-1,1.82%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.78%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.80%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,2.22%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.90%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.73%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.55%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.75%,115.7MiB / 7.654GiB
assignment3-sa-search-web-1,1.52%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,2.04%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,2.34%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.60%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,2.04%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.66%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.98%,115.6MiB / 7.654GiB
assignment3-sa-search-web-1,2.23%,115.4MiB / 7.654GiB
assignment3-sa-search-web-1,1.74%,115.7MiB / 7.654GiB
assignment3-sa-search-web-1,1.93%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.61%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,2.12%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,0.75%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.83%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,2.15%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.91%,115.7MiB / 7.654GiB
assignment3-sa-search-web-1,1.12%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.94%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.53%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.46%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.80%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.48%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.75%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.31%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.34%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.75%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.32%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.61%,115.8MiB / 7.654GiB
assignment3-sa-search-web-1,1.67%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.31%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.71%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.41%,115.5MiB / 7.654GiB
assignment3-sa-search-web-1,1.22%,115.8MiB / 7.654GiB
assignment3-sa-search-web-1,1.92%,115.8MiB / 7.654GiB
assignment3-sa-search-web-1,1.66%,115.7MiB / 7.654GiB
