Name,CPU%,MemUsage
assignment3-sa-search-web-1,0.51%,115.8MiB / 7.654GiB
assignment3-sa-search-web-1,0.50%,115.8MiB / 7.654GiB
assignment3-sa-search-web-1,2.41%,123.7MiB / 7.654GiB
assignment3-sa-search-web-1,4.69%,143.5MiB / 7.654GiB
assignment3-sa-search-web-1,11.69%,125MiB / 7.654GiB
assignment3-sa-search-web-1,14.61%,125.3MiB / 7.654GiB
assignment3-sa-search-web-1,17.50%,125.5MiB / 7.654GiB
assignment3-sa-search-web-1,16.60%,125MiB / 7.654GiB
assignment3-sa-search-web-1,17.99%,125MiB / 7.654GiB
assignment3-sa-search-web-1,18.48%,125MiB / 7.654GiB
assignment3-sa-search-web-1,13.66%,125MiB / 7.654GiB
assignment3-sa-search-web-1,17.90%,125.5MiB / 7.654GiB
assignment3-sa-search-web-1,16.51%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,15.86%,125MiB / 7.654GiB
assignment3-sa-search-web-1,18.67%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,17.59%,125MiB / 7.654GiB
assignment3-sa-search-web-1,17.59%,125MiB / 7.654GiB
assignment3-sa-search-web-1,19.65%,125.5MiB / 7.654GiB
assignment3-sa-search-web-1,18.33%,125MiB / 7.654GiB
assignment3-sa-search-web-1,18.65%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.78%,125MiB / 7.654GiB
assignment3-sa-search-web-1,18.74%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,17.51%,125.3MiB / 7.654GiB
assignment3-sa-search-web-1,18.04%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.34%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.14%,125.3MiB / 7.654GiB
assignment3-sa-search-web-1,17.77%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.71%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.02%,125.3MiB / 7.654GiB
assignment3-sa-search-web-1,18.99%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,17.90%,125.3MiB / 7.654GiB
assignment3-sa-search-web-1,17.05%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,16.20%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,19.37%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,17.98%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.59%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,16.70%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.70%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,17.83%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,16.58%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,19.24%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.98%,125.6MiB / 7.654GiB
assignment3-sa-search-web-1,20.12%,125.6MiB / 7.654GiB
assignment3-sa-search-web-1,18.61%,125.2MiB / 7.654GiB
assignment3-sa-search-web-1,18.93%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,17.81%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,18.09%,125.2MiB / 7.654GiB
assignment3-sa-search-web-1,18.34%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,1.26%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,1.33%,125.3MiB / 7.654GiB
assignment3-sa-search-web-1,1.53%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,1.36%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,1.35%,125.3MiB / 7.654GiB
