Name,CPU%,MemUsage
assignment3-sa-search-web-1,0.42%,125.1MiB / 7.654GiB
assignment3-sa-search-web-1,2.04%,128.7MiB / 7.654GiB
assignment3-sa-search-web-1,3.23%,127.5MiB / 7.654GiB
assignment3-sa-search-web-1,4.69%,189.1MiB / 7.654GiB
assignment3-sa-search-web-1,43.98%,177.8MiB / 7.654GiB
assignment3-sa-search-web-1,36.71%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.84%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,29.83%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,31.71%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,31.21%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,25.72%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,27.24%,140MiB / 7.654GiB
assignment3-sa-search-web-1,25.92%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.24%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,29.60%,140MiB / 7.654GiB
assignment3-sa-search-web-1,31.03%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.77%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,30.43%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,26.79%,140.5MiB / 7.654GiB
assignment3-sa-search-web-1,32.44%,140MiB / 7.654GiB
assignment3-sa-search-web-1,30.84%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.61%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,27.96%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.25%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.25%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,29.52%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,32.23%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,31.96%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,32.54%,140MiB / 7.654GiB
assignment3-sa-search-web-1,30.89%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.18%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.73%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,28.83%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,28.95%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,30.83%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.70%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.47%,140MiB / 7.654GiB
assignment3-sa-search-web-1,30.98%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.43%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,31.11%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.22%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,30.12%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,27.04%,140MiB / 7.654GiB
assignment3-sa-search-web-1,28.10%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,31.75%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,31.82%,140.3MiB / 7.654GiB
assignment3-sa-search-web-1,30.40%,140.1MiB / 7.654GiB
assignment3-sa-search-web-1,1.38%,140MiB / 7.654GiB
